osa00010	Glycolysis / Gluconeogenesis
osa00020	Citrate cycle (TCA cycle)
osa00030	Pentose phosphate pathway
osa00040	Pentose and glucuronate interconversions
osa00051	Fructose and mannose metabolism
osa00052	Galactose metabolism
osa00053	Ascorbate and aldarate metabolism
osa00061	Fatty acid biosynthesis
osa00062	Fatty acid elongation
osa00071	Fatty acid degradation
osa00072	Synthesis and degradation of ketone bodies
osa00073	Cutin, suberine and wax biosynthesis
osa00100	Steroid biosynthesis
osa00130	Ubiquinone and other terpenoid-quinone biosynthesis
osa00190	Oxidative phosphorylation
osa00195	Photosynthesis
osa00196	Photosynthesis
osa00220	Arginine biosynthesis
osa00230	Purine metabolism
osa00232	Caffeine metabolism
osa00240	Pyrimidine metabolism
osa00250	Alanine, aspartate and glutamate metabolism
osa00260	Glycine, serine and threonine metabolism
osa00261	Monobactam biosynthesis
osa00270	Cysteine and methionine metabolism
osa00280	Valine, leucine and isoleucine degradation
osa00290	Valine, leucine and isoleucine biosynthesis
osa00300	Lysine biosynthesis
osa00310	Lysine degradation
osa00330	Arginine and proline metabolism
osa00340	Histidine metabolism
osa00350	Tyrosine metabolism
osa00360	Phenylalanine metabolism
osa00380	Tryptophan metabolism
osa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
osa00410	beta-Alanine metabolism
osa00430	Taurine and hypotaurine metabolism
osa00440	Phosphonate and phosphinate metabolism
osa00450	Selenocompound metabolism
osa00460	Cyanoamino acid metabolism
osa00480	Glutathione metabolism
osa00500	Starch and sucrose metabolism
osa00510	N-Glycan biosynthesis
osa00511	Other glycan degradation
osa00514	Other types of O-glycan biosynthesis
osa00520	Amino sugar and nucleotide sugar metabolism
osa00531	Glycosaminoglycan degradation
osa00561	Glycerolipid metabolism
osa00562	Inositol phosphate metabolism
osa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
osa00564	Glycerophospholipid metabolism
osa00565	Ether lipid metabolism
osa00590	Arachidonic acid metabolism
osa00591	Linoleic acid metabolism
osa00592	alpha-Linolenic acid metabolism
osa00600	Sphingolipid metabolism
osa00601	Glycosphingolipid biosynthesis
osa00603	Glycosphingolipid biosynthesis
osa00604	Glycosphingolipid biosynthesis
osa00620	Pyruvate metabolism
osa00630	Glyoxylate and dicarboxylate metabolism
osa00640	Propanoate metabolism
osa00650	Butanoate metabolism
osa00660	C5-Branched dibasic acid metabolism
osa00670	One carbon pool by folate
osa00710	Carbon fixation in photosynthetic organisms
osa00730	Thiamine metabolism
osa00740	Riboflavin metabolism
osa00750	Vitamin B6 metabolism
osa00760	Nicotinate and nicotinamide metabolism
osa00770	Pantothenate and CoA biosynthesis
osa00780	Biotin metabolism
osa00785	Lipoic acid metabolism
osa00790	Folate biosynthesis
osa00860	Porphyrin and chlorophyll metabolism
osa00900	Terpenoid backbone biosynthesis
osa00901	Indole alkaloid biosynthesis
osa00902	Monoterpenoid biosynthesis
osa00904	Diterpenoid biosynthesis
osa00905	Brassinosteroid biosynthesis
osa00906	Carotenoid biosynthesis
osa00908	Zeatin biosynthesis
osa00909	Sesquiterpenoid and triterpenoid biosynthesis
osa00910	Nitrogen metabolism
osa00920	Sulfur metabolism
osa00940	Phenylpropanoid biosynthesis
osa00941	Flavonoid biosynthesis
osa00942	Anthocyanin biosynthesis
osa00944	Flavone and flavonol biosynthesis
osa00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
osa00950	Isoquinoline alkaloid biosynthesis
osa00960	Tropane, piperidine and pyridine alkaloid biosynthesis
osa00965	Betalain biosynthesis
osa00966	Glucosinolate biosynthesis
osa00970	Aminoacyl-tRNA biosynthesis
osa01040	Biosynthesis of unsaturated fatty acids
osa01100	Metabolic pathways
osa01110	Biosynthesis of secondary metabolites
osa01200	Carbon metabolism
osa01210	2-Oxocarboxylic acid metabolism
osa01212	Fatty acid metabolism
osa01230	Biosynthesis of amino acids
osa01502	Vancomycin resistance
osa02010	ABC transporters
osa03008	Ribosome biogenesis in eukaryotes
osa03010	Ribosome
osa03013	RNA transport
osa03015	mRNA surveillance pathway
osa03018	RNA degradation
osa03020	RNA polymerase
osa03022	Basal transcription factors
osa03030	DNA replication
osa03040	Spliceosome
osa03050	Proteasome
osa03060	Protein export
osa03410	Base excision repair
osa03420	Nucleotide excision repair
osa03430	Mismatch repair
osa03440	Homologous recombination
osa03450	Non-homologous end-joining
osa04016	MAPK signaling pathway
osa04070	Phosphatidylinositol signaling system
osa04075	Plant hormone signal transduction
osa04120	Ubiquitin mediated proteolysis
osa04122	Sulfur relay system
osa04130	SNARE interactions in vesicular transport
osa04136	Autophagy
osa04141	Protein processing in endoplasmic reticulum
osa04144	Endocytosis
osa04145	Phagosome
osa04146	Peroxisome
osa04626	Plant-pathogen interaction
osa04712	Circadian rhythm
osa04933	AGE-RAGE signaling pathway in diabetic complications
