ko04978	Mineral absorption
ko00942	Anthocyanin biosynthesis
ko00140	Steroid hormone biosynthesis
ko05169	Epstein-Barr virus infection
ko05218	Melanoma
ko00902	Monoterpenoid biosynthesis
ko00514	Other types of O-glycan biosynthesis
ko00220	Arginine biosynthesis
ko05145	Toxoplasmosis
ko00984	Steroid degradation
ko04923	Regulation of lipolysis in adipocytes
ko00053	Ascorbate and aldarate metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko04114	Oocyte meiosis
ko04711	Circadian rhythm - fly
ko04013	MAPK signaling pathway - fly
ko05152	Tuberculosis
ko04911	Insulin secretion
ko05214	Glioma
--	--
ko01230	Biosynthesis of amino acids
ko05203	Viral carcinogenesis
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00281	Geraniol degradation
ko05161	Hepatitis B
ko02026	Biofilm formation - Escherichia coli
ko04341	Hedgehog signaling pathway - fly
ko04139	Mitophagy - yeast
ko04614	Renin-angiotensin system
ko00910	Nitrogen metabolism
ko00072	Synthesis and degradation of ketone bodies
ko05213	Endometrial cancer
ko04011	MAPK signaling pathway - yeast
ko05146	Amoebiasis
ko00903	Limonene and pinene degradation
ko05323	Rheumatoid arthritis
ko00401	Novobiocin biosynthesis
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko05111	Biofilm formation - Vibrio cholerae
ko00531	Glycosaminoglycan degradation
ko04520	Adherens junction
ko04723	Retrograde endocannabinoid signaling
ko05200	Pathways in cancer
ko05034	Alcoholism
ko04151	PI3K-Akt signaling pathway
ko05162	Measles
ko04066	HIF-1 signaling pathway
ko04970	Salivary secretion
ko05032	Morphine addiction
ko05160	Hepatitis C
ko05230	Central carbon metabolism in cancer
ko04016	MAPK signaling pathway - plant
ko00680	Methane metabolism
ko05134	Legionellosis
ko03420	Nucleotide excision repair
ko04510	Focal adhesion
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko04916	Melanogenesis
ko00071	Fatty acid degradation
ko04140	Autophagy
ko03460	Fanconi anemia pathway
ko05110	Vibrio cholerae infection
ko00770	Pantothenate and CoA biosynthesis
ko04620	Toll-like receptor signaling pathway
ko00196	Photosynthesis - antenna proteins
ko05166	HTLV-I infection
ko05340	Primary immunodeficiency
ko00590	Arachidonic acid metabolism
ko04024	cAMP signaling pathway
ko02025	Biofilm formation - Pseudomonas aeruginosa
ko00330	Arginine and proline metabolism
ko05322	Systemic lupus erythematosus
ko00363	Bisphenol degradation
ko05132	Salmonella infection
ko00240	Pyrimidine metabolism
ko00640	Propanoate metabolism
ko05016	Huntington's disease
ko05231	Choline metabolism in cancer
ko04962	Vasopressin-regulated water reabsorption
ko00592	alpha-Linolenic acid metabolism
ko01523	Antifolate resistance
ko05216	Thyroid cancer
ko00450	Selenocompound metabolism
ko00561	Glycerolipid metabolism
ko03030	DNA replication
ko04919	Thyroid hormone signaling pathway
ko04915	Estrogen signaling pathway
ko00740	Riboflavin metabolism
ko04020	Calcium signaling pathway
ko04530	Tight junction
ko00410	beta-Alanine metabolism
ko04150	mTOR signaling pathway
ko04370	VEGF signaling pathway
ko00260	Glycine, serine and threonine metabolism
ko04270	Vascular smooth muscle contraction
ko03020	RNA polymerase
ko04611	Platelet activation
ko04664	Fc epsilon RI signaling pathway
ko00195	Photosynthesis
ko00920	Sulfur metabolism
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
ko00710	Carbon fixation in photosynthetic organisms
ko04014	Ras signaling pathway
ko04612	Antigen processing and presentation
ko05222	Small cell lung cancer
ko04212	Longevity regulating pathway - worm
ko05212	Pancreatic cancer
ko00402	Benzoxazinoid biosynthesis
ko04966	Collecting duct acid secretion
ko00790	Folate biosynthesis
ko00660	C5-Branched dibasic acid metabolism
ko04112	Cell cycle - Caulobacter
ko03008	Ribosome biogenesis in eukaryotes
ko00966	Glucosinolate biosynthesis
ko01053	Biosynthesis of siderophore group nonribosomal peptides
ko04111	Cell cycle - yeast
ko05010	Alzheimer's disease
ko04622	RIG-I-like receptor signaling pathway
ko05168	Herpes simplex infection
ko04668	TNF signaling pathway
ko04022	cGMP-PKG signaling pathway
ko00564	Glycerophospholipid metabolism
ko03430	Mismatch repair
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series
ko04070	Phosphatidylinositol signaling system
ko05221	Acute myeloid leukemia
ko03018	RNA degradation
ko01210	2-Oxocarboxylic acid metabolism
ko00350	Tyrosine metabolism
ko00254	Aflatoxin biosynthesis
ko04120	Ubiquitin mediated proteolysis
ko00965	Betalain biosynthesis
ko04113	Meiosis - yeast
ko04930	Type II diabetes mellitus
ko04624	Toll and Imd signaling pathway
ko02020	Two-component system
ko05130	Pathogenic Escherichia coli infection
ko05416	Viral myocarditis
ko00230	Purine metabolism
ko04931	Insulin resistance
ko04666	Fc gamma R-mediated phagocytosis
ko00950	Isoquinoline alkaloid biosynthesis
ko04720	Long-term potentiation
ko04976	Bile secretion
ko04146	Peroxisome
ko03050	Proteasome
ko04940	Type I diabetes mellitus
ko04810	Regulation of actin cytoskeleton
ko04964	Proximal tubule bicarbonate reclamation
ko04712	Circadian rhythm - plant
ko04973	Carbohydrate digestion and absorption
ko04920	Adipocytokine signaling pathway
ko04064	NF-kappa B signaling pathway
ko05202	Transcriptional misregulation in cancer
ko04261	Adrenergic signaling in cardiomyocytes
ko00643	Styrene degradation
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko04071	Sphingolipid signaling pathway
ko05143	African trypanosomiasis
ko04918	Thyroid hormone synthesis
ko00650	Butanoate metabolism
ko00909	Sesquiterpenoid and triterpenoid biosynthesis
ko04971	Gastric acid secretion
ko02024	Quorum sensing
ko00730	Thiamine metabolism
ko00620	Pyruvate metabolism
ko04072	Phospholipase D signaling pathway
ko04330	Notch signaling pathway
ko05133	Pertussis
ko01502	Vancomycin resistance
ko00970	Aminoacyl-tRNA biosynthesis
ko00627	Aminobenzoate degradation
ko04550	Signaling pathways regulating pluripotency of stem cells
ko04211	Longevity regulating pathway
ko03450	Non-homologous end-joining
ko04670	Leukocyte transendothelial migration
ko00565	Ether lipid metabolism
ko04630	Jak-STAT signaling pathway
ko04010	MAPK signaling pathway
ko00830	Retinol metabolism
ko00440	Phosphonate and phosphinate metabolism
ko02010	ABC transporters
ko03070	Bacterial secretion system
ko05205	Proteoglycans in cancer
ko05217	Basal cell carcinoma
ko04659	Th17 cell differentiation
ko04130	SNARE interactions in vesicular transport
ko04626	Plant-pathogen interaction
ko05142	Chagas disease (American trypanosomiasis)
ko00052	Galactose metabolism
ko01522	Endocrine resistance
ko04660	T cell receptor signaling pathway
ko05014	Amyotrophic lateral sclerosis (ALS)
ko04215	Apoptosis - multiple species
ko00471	D-Glutamine and D-glutamate metabolism
ko04015	Rap1 signaling pathway
ko04144	Endocytosis
