@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
7009,0,7009,0,1,1,0.5,1,0.5,0.666667,1,1,0
7003,6,6871,138,0.980311,0.999144,0.504757,0.999144,0.495243,0.670689,0.989727,1.009514,0
7001,8,6718,291,0.958482,0.998859,0.510314,0.998859,0.489686,0.675511,0.97867,1.020628,0
7000,9,6556,453,0.935369,0.998716,0.516377,0.998716,0.483623,0.680768,0.967042,1.032753,0
6997,12,6398,611,0.912826,0.998288,0.522359,0.998288,0.477641,0.685846,0.955557,1.044718,0
6992,17,6231,778,0.889,0.997575,0.528776,0.997575,0.471224,0.691182,0.943287,1.057551,0
6988,21,6047,962,0.862748,0.997004,0.536095,0.997004,0.463905,0.697266,0.929876,1.07219,0
6986,23,6015,994,0.858182,0.996719,0.537343,0.996719,0.462657,0.698251,0.92745,1.074687,0
6978,31,5840,1169,0.833214,0.995577,0.544391,0.995577,0.455609,0.703889,0.914396,1.088781,0
6974,35,5816,1193,0.82979,0.995006,0.54527,0.995006,0.45473,0.70448,0.912398,1.090539,0
6971,38,5683,1326,0.810815,0.994578,0.550893,0.994578,0.449107,0.709047,0.902697,1.101786,0
6970,39,5554,1455,0.79241,0.994436,0.556531,0.994436,0.443469,0.713664,0.893423,1.113063,0
6965,44,5384,1625,0.768155,0.993722,0.564013,0.993722,0.435987,0.719599,0.880939,1.128027,0
6963,46,5365,1644,0.765444,0.993437,0.564812,0.993437,0.435188,0.720174,0.879441,1.129624,0
6962,47,5330,1679,0.760451,0.993294,0.566385,0.993294,0.433615,0.721413,0.876873,1.132769,0
6961,48,5306,1703,0.757027,0.993152,0.567457,0.993152,0.432543,0.722245,0.875089,1.134915,0
6957,52,5279,1730,0.753174,0.992581,0.568568,0.992581,0.431432,0.722993,0.872878,1.137136,0
6953,56,5259,1750,0.750321,0.99201,0.569358,0.99201,0.430642,0.72348,0.871166,1.138716,0
6952,57,5228,1781,0.745898,0.991868,0.570772,0.991868,0.429228,0.724582,0.868883,1.141544,0
6952,57,5198,1811,0.741618,0.991868,0.572181,0.991868,0.427819,0.725716,0.866743,1.144362,0
6951,58,5162,1847,0.736482,0.991725,0.573846,0.991725,0.426154,0.727016,0.864103,1.147693,0
6949,60,5148,1861,0.734484,0.99144,0.57444,0.99144,0.42556,0.727415,0.862962,1.14888,0
6947,62,5118,1891,0.730204,0.991154,0.575798,0.991154,0.424202,0.728426,0.860679,1.151596,0
6945,64,5093,1916,0.726637,0.990869,0.576923,0.990869,0.423077,0.729249,0.858753,1.153846,0
6944,65,5062,1947,0.722214,0.990726,0.578377,0.990726,0.421623,0.730371,0.85647,1.156755,0
6944,65,5032,1977,0.717934,0.990726,0.579826,0.990726,0.420174,0.731525,0.85433,1.159653,0
6944,65,5016,1993,0.715651,0.990726,0.580602,0.990726,0.419398,0.732142,0.853189,1.161204,0
6941,68,4984,2025,0.711086,0.990298,0.582055,0.990298,0.417945,0.733178,0.850692,1.164109,0
6941,68,4959,2050,0.707519,0.990298,0.583277,0.990298,0.416723,0.734148,0.848909,1.166555,0
6941,68,4941,2068,0.704951,0.990298,0.584161,0.990298,0.415839,0.734847,0.847624,1.168322,0
6940,69,4933,2076,0.703809,0.990156,0.584519,0.990156,0.415481,0.735092,0.846982,1.169039,0
6940,69,4888,2121,0.697389,0.990156,0.586743,0.990156,0.413257,0.736848,0.843772,1.173487,0
6938,71,4856,2153,0.692824,0.98987,0.588265,0.98987,0.411735,0.737967,0.841347,1.17653,0
6936,73,4835,2174,0.689827,0.989585,0.589245,0.989585,0.410755,0.738658,0.839706,1.17849,0
6936,73,4820,2189,0.687687,0.989585,0.589997,0.989585,0.410003,0.739249,0.838636,1.179993,0
