GeneID	KEGG	KO	description	pathways	UniProt
AT3G09560	ath:AT3G09560	K15728	phosphatidate phosphatase LPIN [EC:3.1.3.4]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00564': 'Glycerophospholipid metabolism', 'ath00561': 'Glycerolipid metabolism', 'ath01100': 'Metabolic pathways'}	Q9SF47
AT3G08020	ath:AT3G08020	No_KO	--	(--,--)	Q0WKW1
AT5G61930	ath:AT5G61930	No_KO	--	(--,--)	Q9FH50
AT4G12640	ath:AT4G12640	No_KO	--	(--,--)	Q9SU22
AT4G34720	ath:AT4G34720	K02155	V-type H+-transporting ATPase 16kDa proteolipid subunit	{'ath00190': 'Oxidative phosphorylation', 'ath04145': 'Phagosome', 'ath01100': 'Metabolic pathways'}	P0DH92
AT2G16510	ath:AT2G16510	K02155	V-type H+-transporting ATPase 16kDa proteolipid subunit	{'ath00190': 'Oxidative phosphorylation', 'ath04145': 'Phagosome', 'ath01100': 'Metabolic pathways'}	P0DH92
AT1G78260	ath:AT1G78260	No_KO	--	(--,--)	Q8LF90
AT3G53400	ath:AT3G53400	No_KO	--	(--,--)	Q9LFH7
AT3G53402	No_KEGG	--	--	(--,--)	--
AT4G32630	ath:AT4G32630	No_KO	--	(--,--)	B3H5G3
AT5G09810	ath:AT5G09810	K10355	actin, other eukaryote	(--,--)	P53492
AT3G22410	ath:AT3G22410	No_KO	--	(--,--)	Q9LUV9
AT2G28056	ath:AT2G28056	No_KO	--	(--,--)	--
AT3G11435	ath:AT3G11435	No_KO	--	(--,--)	--
AT5G04275	ath:AT5G04275	No_KO	--	(--,--)	--
AT5G59505	ath:AT5G59505	No_KO	--	(--,--)	--
AT3G49690	ath:AT3G49690	K09422	transcription factor MYB, plant	(--,--)	Q9M2Y9
AT5G65790	ath:AT5G65790	K09422	transcription factor MYB, plant	(--,--)	O49538
AT3G47360	ath:AT3G47360	No_KO	--	(--,--)	Q9STY7
AT3G55512	ath:AT3G55512	No_KO	--	(--,--)	--
AT3G09030	ath:AT3G09030	No_KO	--	(--,--)	Q9S7R7
AT1G32340	ath:AT1G32340	K11971	E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]	(--,--)	Q9LQM5
AT4G23320	ath:AT4G23320	No_KO	--	(--,--)	O65483
AT3G62870	ath:AT3G62870	K02936	large subunit ribosomal protein L7Ae	{'ath03010': 'Ribosome'}	Q9LZH9
AT4G08540	ath:AT4G08540	No_KO	--	(--,--)	Q8H1E1
AT5G03720	ath:AT5G03720	K09419	heat shock transcription factor, other eukaryote	(--,--)	Q8GYY1
AT4G08076	No_KEGG	--	--	(--,--)	--
AT1G30490	ath:AT1G30490	K09338	homeobox-leucine zipper protein	(--,--)	O04292
AT2G34710	ath:AT2G34710	K09338	homeobox-leucine zipper protein	(--,--)	O04291
AT4G32880	ath:AT4G32880	K09338	homeobox-leucine zipper protein	(--,--)	Q39123
AT5G60690	ath:AT5G60690	K09338	homeobox-leucine zipper protein	(--,--)	Q9SE43
AT1G52150	ath:AT1G52150	K09338	homeobox-leucine zipper protein	(--,--)	Q9ZU11
AT1G41820	ath:AT1G41820	No_KO	--	(--,--)	Q9C8Q4
AT1G47450	ath:AT1G47450	No_KO	--	(--,--)	Q3ECV9
AT3G42783	No_KEGG	--	--	(--,--)	--
AT1G17190	ath:AT1G17190	K00799	glutathione S-transferase [EC:2.5.1.18]	{'ath00480': 'Glutathione metabolism'}	Q9SHH8
AT1G21320	ath:AT1G21320	No_KO	--	(--,--)	F4HWF9
AT5G16860	ath:AT5G16860	No_KO	--	(--,--)	Q9LFL5
AT2G31270	ath:AT2G31270	K10727	chromatin licensing and DNA replication factor 1	(--,--)	Q9SJW9
AT1G58060	ath:AT1G58060	K18995	ATP-dependent RNA helicase DHX29 [EC:3.6.4.13]	(--,--)	F4I9Q5
AT3G09920	ath:AT3G09920	K00889	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	{'ath04070': 'Phosphatidylinositol signaling system', 'ath04144': 'Endocytosis', 'ath01100': 'Metabolic pathways', 'ath00562': 'Inositol phosphate metabolism'}	Q8L850
AT5G07700	ath:AT5G07700	K09422	transcription factor MYB, plant	(--,--)	Q9SPG5
AT5G45070	ath:AT5G45070	No_KO	--	(--,--)	Q9FHE9
AT4G22415	No_KEGG	--	--	(--,--)	--
AT4G33650	ath:AT4G33650	K17065	dynamin 1-like protein [EC:3.6.5.5]	(--,--)	Q8S944
AT5G49210	ath:AT5G49210	No_KO	--	(--,--)	A0A1P8BE75
AT5G45469	ath:AT5G45469	No_KO	--	(--,--)	B3H6U9
AT1G78610	ath:AT1G78610	K22048	mechanosensitive ion channel protein 4/5/6/7/8/9/10	(--,--)	Q9SYM1
AT2G17000	ath:AT2G17000	K22048	mechanosensitive ion channel protein 4/5/6/7/8/9/10	(--,--)	F4IME1
AT3G17185	ath:AT3G17185	No_KO	--	(--,--)	--
AT5G57735	ath:AT5G57735	No_KO	--	(--,--)	--
AT5G49615	ath:AT5G49615	No_KO	--	(--,--)	--
AT3G52890	ath:AT3G52890	No_KO	--	(--,--)	Q9LFA2
AT5G48570	ath:AT5G48570	K01802	peptidylprolyl isomerase [EC:5.2.1.8]	(--,--)	Q9FJL3
AT5G03640	ath:AT5G03640	No_KO	--	(--,--)	Q9LZS4
AT1G79970	ath:AT1G79970	No_KO	--	(--,--)	A0A1P8AQD6
AT3G13960	ath:AT3G13960	No_KO	--	(--,--)	Q8L8A6
AT3G43740	ath:AT3G43740	No_KO	--	(--,--)	Q6NQP4
AT5G62230	ath:AT5G62230	K20718	LRR receptor-like serine/threonine-protein kinase ERECTA [EC:2.7.11.1]	{'ath04016': 'MAPK signaling pathway - plant'}	C0LGW6
AT3G20420	ath:AT3G20420	No_KO	--	(--,--)	Q9LTQ0
AT1G68890	ath:AT1G68890	K14759	isochorismate synthase / 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase / 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase / O-succinylbenzoate synthase [EC:5.4.4.2 2.2.1.9 4.2.99.20 4.2.1.113]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ath01100': 'Metabolic pathways'}	Q15KI9
AT2G26440	ath:AT2G26440	No_KO	--	(--,--)	O48711
AT5G28900	ath:AT5G28900	K11583	serine/threonine-protein phosphatase 2A regulatory subunit B''	{'ath03015': 'mRNA surveillance pathway'}	Q8VZQ4
AT5G28850	ath:AT5G28850	K11583	serine/threonine-protein phosphatase 2A regulatory subunit B''	{'ath03015': 'mRNA surveillance pathway'}	Q5QIT3
AT3G06868	ath:AT3G06868	No_KO	--	(--,--)	Q0WM46
AT2G48110	ath:AT2G48110	No_KO	--	(--,--)	F4IN69
AT5G23060	ath:AT5G23060	No_KO	--	(--,--)	Q9FN48
AT3G61310	ath:AT3G61310	No_KO	--	(--,--)	Q8L7L5
